DataType;SortType;Threshold;Size;Time_ms
NearlySorted;Standard;0;38700;15.6323
NearlySorted;Standard;0;38800;15.8902
NearlySorted;Standard;0;38900;15.9472
NearlySorted;Standard;0;39000;15.7432
NearlySorted;Standard;0;39100;15.8958
NearlySorted;Standard;0;39200;16.2745
NearlySorted;Standard;0;39300;15.8233
NearlySorted;Standard;0;39400;15.8158
NearlySorted;Standard;0;39500;15.8027
NearlySorted;Standard;0;39600;16.5145
NearlySorted;Standard;0;39700;16.082
NearlySorted;Standard;0;39800;16.1392
NearlySorted;Standard;0;39900;16.0051
NearlySorted;Standard;0;40000;15.9837
NearlySorted;Standard;0;40100;17.167
NearlySorted;Standard;0;40200;16.7021
NearlySorted;Standard;0;40300;16.2694
NearlySorted;Standard;0;40400;17.1063
NearlySorted;Standard;0;40500;16.3718
NearlySorted;Standard;0;40600;18.8412
NearlySorted;Standard;0;40700;16.3731
NearlySorted;Standard;0;40800;16.3071
NearlySorted;Standard;0;40900;17.94
NearlySorted;Standard;0;41000;16.277
NearlySorted;Standard;0;41100;17.1615
NearlySorted;Standard;0;41200;16.5434
NearlySorted;Standard;0;41300;17.0484
NearlySorted;Standard;0;41400;16.6954
NearlySorted;Standard;0;41500;16.6476
NearlySorted;Standard;0;41600;16.668
NearlySorted;Standard;0;41700;16.6612
NearlySorted;Standard;0;41800;17.1762
NearlySorted;Standard;0;41900;16.8746
NearlySorted;Standard;0;42000;16.8798
NearlySorted;Standard;0;42100;17.1165
NearlySorted;Standard;0;42200;17.7543
NearlySorted;Standard;0;42300;16.969
NearlySorted;Standard;0;42400;18.7167
NearlySorted;Standard;0;42500;17.7917
NearlySorted;Standard;0;42600;17.2063
NearlySorted;Standard;0;42700;17.8984
NearlySorted;Standard;0;42800;17.2396
NearlySorted;Standard;0;42900;17.2382
NearlySorted;Standard;0;43000;17.7167
NearlySorted;Standard;0;43100;18.4881
NearlySorted;Standard;0;43200;17.6144
NearlySorted;Standard;0;43300;17.6873
NearlySorted;Standard;0;43400;17.7445
NearlySorted;Standard;0;43500;18.6641
NearlySorted;Standard;0;43600;18.0451
NearlySorted;Standard;0;43700;18.1455
NearlySorted;Standard;0;43800;17.8684
NearlySorted;Standard;0;43900;17.8625
NearlySorted;Standard;0;44000;18.2261
NearlySorted;Standard;0;44100;18.0632
NearlySorted;Standard;0;44200;18.2998
NearlySorted;Standard;0;44300;18.0721
NearlySorted;Standard;0;44400;17.8585
NearlySorted;Standard;0;44500;18.3106
NearlySorted;Standard;0;44600;18.1046
NearlySorted;Standard;0;44700;18.5069
NearlySorted;Standard;0;44800;18.9185
NearlySorted;Standard;0;44900;18.8699
NearlySorted;Standard;0;45000;18.7326
NearlySorted;Standard;0;45100;18.8766
NearlySorted;Standard;0;45200;19.5873
NearlySorted;Standard;0;45300;18.8121
NearlySorted;Standard;0;45400;18.4642
NearlySorted;Standard;0;45500;18.4692
NearlySorted;Standard;0;45600;19.4013
NearlySorted;Standard;0;45700;19.2283
NearlySorted;Standard;0;45800;18.6234
NearlySorted;Standard;0;45900;18.4289
NearlySorted;Standard;0;46000;18.9471
NearlySorted;Standard;0;46100;18.546
NearlySorted;Standard;0;46200;18.7747
NearlySorted;Standard;0;46300;18.7544
NearlySorted;Standard;0;46400;18.9389
NearlySorted;Standard;0;46500;20.5227
NearlySorted;Standard;0;46600;19.0088
NearlySorted;Standard;0;46700;19.1796
NearlySorted;Standard;0;46800;19.2097
NearlySorted;Standard;0;46900;20.1159
NearlySorted;Standard;0;47000;19.653
NearlySorted;Standard;0;47100;19.1878
NearlySorted;Standard;0;47200;20.2117
NearlySorted;Standard;0;47300;19.105
NearlySorted;Standard;0;47400;19.1192
NearlySorted;Standard;0;47500;19.4918
NearlySorted;Standard;0;47600;19.2179
NearlySorted;Standard;0;47700;19.9589
NearlySorted;Standard;0;47800;20.8755
NearlySorted;Standard;0;47900;19.6296
